Timestamp,Tôi đã đọc thông tin trên và đồng ý tham gia khảo sát này.,1.1 Anh/Chị thuộc nhóm tuổi nào?,1.2. Giới tính của Anh/Chị là gì?,1.3. Lĩnh vực kinh doanh chính của cửa hàng Anh/Chị là gì?,1.4. Cửa hàng của Anh/Chị đã hoạt động được bao lâu?,"1.5. Tại cửa hàng của Anh/Chị, ai là người có thẩm quyền cuối cùng quyết định việc thay đổi giá sản phẩm hoặc áp dụng các chương trình giảm giá?",1.6. Trung bình mỗi ngày cửa hàng có khoảng bao nhiêu giao dịch?,1.7. Cửa hàng Anh/Chị đang sử dụng phần mềm bán hàng (POS) nào? (Có thể chọn nhiều đáp án),1.8. Anh/Chị thường xuyên sử dụng các tính năng nâng cao nào của phần mềm POS hiện tại? (Có thể chọn nhiều đáp án),"1.9. Theo ước tính của Anh/Chị, hằng ngày cửa hàng có khoảng bao nhiêu phần trăm hàng tồn bị hỏng hoặc hết hạn không bán được?",1.10. Cửa hàng của Anh/Chị có từng áp dụng các hình thức giảm giá cuối ngày cho hàng sắp hết hạn không?,"2.1. Trước khi xem các kết quả mô phỏng dưới đây, Anh/Chị đã biết đến khái niệm định giá động (dynamic pricing) cho hàng F&B ở mức độ nào?",2.2. Mức tỷ lệ lãng phí 36.23% dưới định giá cố định có gần với tình hình thực tế tại cửa hàng của Anh/Chị không?,2.3. Mức giảm lãng phí từ 36.23% xuống 4.19% mà định giá động mang lại có thuyết phục Anh/Chị về hiệu quả của thuật toán không?,"2.4. Trong các nhóm sản phẩm trên, nhóm nào gần nhất với mặt hàng kinh doanh chính của cửa hàng Anh/Chị?",2.5. Mức tăng lợi nhuận dưới định giá động cho nhóm sản phẩm gần với cửa hàng Anh/Chị nhất có hợp lý không?,2.6. Lo lắng lớn nhất của Anh/Chị thường là kết quả mô phỏng có thể không đúng với thực tế cửa hàng mình. Biểu đồ trên (cho thấy định giá động vẫn tốt hơn trong mọi tình huống) có giúp Anh/Chị giảm bớt lo lắng này không?,2.7. Việc tỷ lệ giao dịch có lãi tăng từ 59.20% lên 96.98% dưới định giá động có ý nghĩa thực tế như thế nào đối với cửa hàng của Anh/Chị?,"2.8. Trong 5 biểu đồ trên, biểu đồ nào thuyết phục Anh/Chị nhất về lợi ích của định giá động?",SC1. Tính năng định giá động có thể được tích hợp vào hệ thống POS hiện tại mà không cần phải mua thêm phần cứng mới.,"SC2. Hệ thống POS hiện tại của cửa hàng đã có sẵn các dữ liệu cần thiết cho định giá động (như ngày hết hạn, tốc độ bán hàng).",SC3. Việc tích hợp định giá động vào quy trình POS sẽ không gây gián đoạn đến hoạt động kinh doanh hằng ngày.,SC4. Hạ tầng kỹ thuật hiện tại của cửa hàng đã sẵn sàng cho tính năng giảm giá tự động.,SC5. Việc chuyển sang một phần mềm POS có tính năng định giá động sẽ dễ dàng đối với cửa hàng của tôi.,OU1. Tính năng định giá động sẽ dễ sử dụng ngay cả trong giờ cao điểm.,OU2. Nhân viên có thể học cách áp dụng giảm giá tự động chỉ qua một buổi đào tạo ngắn.,OU3. Việc sử dụng tính năng định giá động sẽ không làm chậm quá trình thanh toán cho khách.,"OU4. Một nút ""Áp dụng giảm giá"" duy nhất trên màn hình POS là đủ để quản lý các giảm giá cận date.",OU5. Một quyết định định giá động không nên yêu cầu nhiều hơn hai lần nhấn trên giao diện POS.,"Để chuyển đến phần đo lường phù hợp với vai trò của Anh/Chị, vui lòng xác nhận lại vai trò chính của Anh/Chị tại cửa hàng. Ah/chị là:",AT1. Tôi tin tưởng thuật toán có thể xác định mức giảm giá tối ưu cho hàng tồn của cửa hàng.,AT2. Định giá tự động có khả năng chính xác hơn so với cảm tính chủ quan của tôi.,AT3. Tôi sẵn sàng cho phép phần mềm tự động điều chỉnh giá mà không cần tôi phê duyệt từng giao dịch.,AT4. Việc áp dụng giảm giá tự động sẽ không làm tổn hại đến hình ảnh thương hiệu của cửa hàng.,AT5. Khách hàng sẽ hiểu và chấp nhận việc giá thay đổi theo thời hạn sử dụng còn lại của sản phẩm.,"AT6. Tôi chấp nhận việc không hiểu rõ logic bên trong của thuật toán, miễn là kết quả tài chính khả quan.",AT1_EU. Tôi tin tưởng vào các đề xuất giảm giá của hệ thống ngay cả trong giờ cao điểm.,AT2_EU. Giá tự động hiển thị trên màn hình POS có khả năng cao là chính xác.,AT3_EU. Tôi sẵn sàng áp dụng mức giá do hệ thống tự động đề xuất mà không cần xác nhận lại với quản lý.,AT4_EU. Việc áp dụng giảm giá tự động sẽ không làm khách hàng có ấn tượng xấu về cửa hàng nơi tôi làm việc.,AT5_EU. Khách hàng sẽ chấp nhận giá thay đổi mà không cần tôi giải thích quá nhiều.,AI1. Tôi ủng hộ việc áp dụng tính năng định giá động tại cửa hàng của mình.,AI2. Tôi sẵn sàng giới thiệu định giá động cho các đồng nghiệp trong ngành F&B.,"AI3. Nếu nhà cung cấp POS triển khai mô-đun định giá động ngay hôm nay, tôi sẽ kích hoạt trong vòng một tháng tới.",AI4. Tôi có kế hoạch triển khai định giá động tại cửa hàng khi điều kiện cho phép.,"4.1. Theo cách nhìn của Anh/Chị, đâu là rào cản lớn nhất khiến cửa hàng có thể không áp dụng định giá động?",4.2. Tính năng hoặc cam kết nào từ nhà cung cấp POS sẽ làm tăng nhiều nhất sự sẵn sàng áp dụng định giá động của Anh/Chị
5/31/2026 0:42:52,"Có, tôi đồng ý tham gia",Từ 35 đến 44 tuổi,Nữ,Quán cà phê hoặc đồ uống,Dưới 1 năm,Chủ cửa hàng/Quản lý,Từ 50 đến 150 giao dịch,"iPOS, KiotViet","Báo cáo doanh thu theo ngày, tuần, tháng, Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,"Có, thường xuyên",Biết khá rõ qua tin tức hoặc đồng nghiệp,Cao hơn thực tế cửa hàng tôi,Bình thường,"Bakery (bánh ngọt, bánh mì)",Tôi không chắc chắn,Bình thường,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 5,3,5,2,5,3,4,4,3,3,3,Thu ngân/Nhân viên trực tiếp,,,,,,,2,3,4,3,4,4,4,5,3,,
5/31/2026 0:42:54,"Có, tôi đồng ý tham gia",Từ 25 đến 34 tuổi,Nam,Tiệm bánh,Từ 3 đến 5 năm,Chủ cửa hàng/Quản lý,Từ 50 đến 150 giao dịch,KiotViet,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,"Có, thường xuyên",Biết sơ qua (Từng nghe loáng thoáng),Cao hơn thực tế cửa hàng tôi,Bình thường,Produce (rau củ quả tươi),Hợp lý nhưng cao hơn kỳ vọng,Bình thường,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,"Biểu đồ 3, Biểu đồ 4, Biểu đồ 5",2,5,2,4,4,3,4,4,3,3,Chủ cửa hàng/Quản lý,2,1,4,5,4,5,,,,,,4,4,3,4,,
5/31/2026 0:42:55,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Rau củ quả tươi hoặc tạp hóa,Trên 10 năm,Chủ cửa hàng/Quản lý,Từ 150 đến 300 giao dịch,Misa CukCuk,"Báo cáo doanh thu theo ngày, tuần, tháng, Quản lý tồn kho và cảnh báo hết hàng, Quản lý chương trình khuyến mãi và voucher",Từ 5% đến 15%,Chưa bao giờ,Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Khá thuyết phục,Beverages (đồ uống),Bình thường,Bình thường,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,"Biểu đồ 4, Biểu đồ 5",2,4,1,1,3,4,3,4,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,2,3,4,3,4,4,3,4,4,,
5/31/2026 0:43:02,"Có, tôi đồng ý tham gia",Từ 25 đến 34 tuổi,Nam,Quán cà phê hoặc đồ uống,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Từ 50 đến 150 giao dịch,Sapo,"Báo cáo doanh thu theo ngày, tuần, tháng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,Hiếm khi,Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Khá thuyết phục,"Ready-to-Eat (đồ ăn sẵn, cơm văn phòng)",Bình thường,Bình thường,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,"Biểu đồ 4, Biểu đồ 5",3,5,4,4,3,2,3,5,3,5,Thu ngân/Nhân viên trực tiếp,,,,,,,4,5,3,4,4,4,5,3,2,,
5/31/2026 0:43:04,"Có, tôi đồng ý tham gia",Từ 35 đến 44 tuổi,Nữ,Rau củ quả tươi hoặc tạp hóa,Từ 3 đến 5 năm,Nhân viên/Thu ngân,Từ 50 đến 150 giao dịch,"iPOS, KiotViet","Quản lý tồn kho và cảnh báo hết hàng, Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Trên 15%,Hiếm khi,Biết khá rõ qua tin tức hoặc đồng nghiệp,Cao hơn thực tế cửa hàng tôi,Khá thuyết phục,Seafood (hải sản),Tôi không chắc chắn,Bình thường,Bình thường,Biểu đồ 5,5,4,5,4,3,4,5,4,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,4,2,3,4,2,3,4,4,3,,
5/31/2026 0:43:08,"Có, tôi đồng ý tham gia",Dưới 25 tuổi,Nam,Rau củ quả tươi hoặc tạp hóa,Từ 1 đến 3 năm,Chủ cửa hàng/Quản lý,Từ 150 đến 300 giao dịch,Sapo,"Báo cáo doanh thu theo ngày, tuần, tháng, Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,Hiếm khi,Biết khá rõ qua tin tức hoặc đồng nghiệp,Đúng với thực tế cửa hàng tôi,Bình thường,Deli (đồ chế biến sẵn),Bình thường,Giảm lo lắng rất nhiều,Bình thường,Biểu đồ 4,5,4,4,2,2,2,4,3,3,5,Thu ngân/Nhân viên trực tiếp,,,,,,,4,3,2,2,5,3,5,5,4,,
5/31/2026 0:43:11,"Có, tôi đồng ý tham gia",Dưới 25 tuổi,Nam,Tiệm bánh,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,KiotViet,"Quản lý tồn kho và cảnh báo hết hàng, Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,Hiếm khi,Biết rất rõ (Đã từng tìm hiểu kỹ hoặc áp dụng),Cao hơn thực tế cửa hàng tôi,Khá thuyết phục,"Bakery (bánh ngọt, bánh mì)",Hợp lý và khả thi,Giảm lo lắng khá nhiều,Bình thường,Biểu đồ 3,5,2,5,4,3,4,5,5,4,4,Chủ cửa hàng/Quản lý,4,4,5,2,4,3,,,,,,3,4,4,3,,
5/31/2026 0:43:13,"Có, tôi đồng ý tham gia",Dưới 25 tuổi,Nữ,Quán cà phê hoặc đồ uống,Từ 1 đến 3 năm,Chủ cửa hàng/Quản lý,Trên 500 giao dịch,"iPOS, KiotViet","Báo cáo doanh thu theo ngày, tuần, tháng, Quản lý tồn kho và cảnh báo hết hàng",Từ 5% đến 15%,Hiếm khi,Có nghe qua nhưng chưa hiểu chi tiết,Thấp hơn thực tế cửa hàng tôi,Bình thường,Beverages (đồ uống),Hợp lý nhưng cao hơn kỳ vọng,Giảm lo lắng rất nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 3,2,4,1,4,3,2,4,5,4,3,Chủ cửa hàng/Quản lý,3,5,5,3,4,2,,,,,,2,3,4,3,,
5/31/2026 0:43:15,"Có, tôi đồng ý tham gia",Từ 25 đến 34 tuổi,Nữ,"Đồ ăn nhanh, bán tại chỗ/giao hàng hoặc cơm trưa văn phòng",Từ 3 đến 5 năm,Chủ cửa hàng/Quản lý,Từ 150 đến 300 giao dịch,"iPOS, KiotViet","Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood)",Từ 5% đến 15%,"Có, thỉnh thoảng",Biết rất rõ (Đã từng tìm hiểu kỹ hoặc áp dụng),Tôi không chắc chắn,Bình thường,Produce (rau củ quả tươi),Bình thường,Giảm lo lắng khá nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 5,3,4,3,4,3,5,2,5,5,4,Thu ngân/Nhân viên trực tiếp,,,,,,,4,5,3,5,3,5,4,5,5,,
5/31/2026 0:43:22,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,"Đồ ăn nhanh, bán tại chỗ/giao hàng hoặc cơm trưa văn phòng",Trên 10 năm,Nhân viên/Thu ngân,Dưới 50 giao dịch,Không sử dụng phần mềm POS (vận hành thủ công),"Quản lý tồn kho và cảnh báo hết hàng, Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,Chưa bao giờ,Biết khá rõ qua tin tức hoặc đồng nghiệp,Đúng với thực tế cửa hàng tôi,Chưa thuyết phục,"Bakery (bánh ngọt, bánh mì)",Bình thường,Giảm lo lắng khá nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 4,2,2,1,4,4,4,3,3,4,5,Chủ cửa hàng/Quản lý,5,2,3,5,4,3,,,,,,3,3,4,4,,
2026-05-31 11:02:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Quán cà phê hoặc đồ uống,Trên 10 năm,Chủ cửa hàng/Quản lý,Từ 50 đến 150 giao dịch,iPOS,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Dưới 5%,"Có, thường xuyên",Chưa từng nghe đến,Cao hơn thực tế cửa hàng tôi,Khá thuyết phục,Beverages (đồ uống),Hợp lý và khả thi,Giảm lo lắng khá nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 5,2,1,1,2,3,1,1,1,2,1,Chủ cửa hàng/Quản lý,1,1,2,1,2,1,,,,,,3,1,3,2,,
2026-05-31 11:03:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Thịt hoặc hải sản tươi sống,Từ 3 đến 5 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,iPOS,Quản lý tồn kho và cảnh báo hết hàng,Từ 5% đến 15%,"Có, thỉnh thoảng",Chưa từng nghe đến,Tôi không chắc chắn,Bình thường,Meat (thịt tươi),Bình thường,Bình thường,Bình thường,Biểu đồ 4,2,1,1,1,3,2,2,1,1,2,Chủ cửa hàng/Quản lý,2,4,3,4,3,4,,,,,,3,1,2,2,,
2026-05-31 11:04:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Rau củ quả tươi hoặc tạp hóa,Từ 3 đến 5 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,iPOS,"Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,Hiếm khi,Chưa từng nghe đến,Đúng với thực tế cửa hàng tôi,Khá thuyết phục,Produce (rau củ quả tươi),Hợp lý nhưng cao hơn kỳ vọng,Giảm lo lắng rất nhiều,Bình thường,Biểu đồ 3,3,2,3,2,3,2,2,2,2,1,Chủ cửa hàng/Quản lý,5,4,3,4,3,4,,,,,,2,2,1,3,,
2026-05-31 11:05:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Tiệm bánh,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Dưới 50 giao dịch,Không sử dụng phần mềm POS (vận hành thủ công),Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,"Có, thỉnh thoảng",Chưa từng nghe đến,Tôi không chắc chắn,Bình thường,"Bakery (bánh ngọt, bánh mì)",Bình thường,Bình thường,Bình thường,Biểu đồ 4,2,2,1,1,3,2,2,2,1,1,Chủ cửa hàng/Quản lý,5,2,5,2,5,3,,,,,,2,2,2,1,,
2026-05-31 11:06:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Quán cà phê hoặc đồ uống,Từ 5 đến 10 năm,Nhân viên/Thu ngân,Từ 50 đến 150 giao dịch,KiotViet,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,Hiếm khi,Chưa từng nghe đến,Cao hơn thực tế cửa hàng tôi,Khá thuyết phục,Beverages (đồ uống),Hợp lý và khả thi,Giảm lo lắng khá nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 5,1,1,1,2,3,2,3,2,2,2,Chủ cửa hàng/Quản lý,5,2,3,4,2,3,,,,,,1,1,1,3,,
2026-05-31 11:07:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Thịt hoặc hải sản tươi sống,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,Sapo,Quản lý tồn kho và cảnh báo hết hàng,Từ 5% đến 15%,"Có, thỉnh thoảng",Chưa từng nghe đến,Tôi không chắc chắn,Bình thường,Meat (thịt tươi),Bình thường,Bình thường,Bình thường,Biểu đồ 4,2,1,1,2,3,2,2,3,2,2,Chủ cửa hàng/Quản lý,4,4,4,2,4,5,,,,,,3,1,1,1,,
2026-05-31 11:08:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Rau củ quả tươi hoặc tạp hóa,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Dưới 50 giao dịch,Không sử dụng phần mềm POS (vận hành thủ công),Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Dưới 5%,"Có, thường xuyên",Chưa từng nghe đến,Đúng với thực tế cửa hàng tôi,Khá thuyết phục,Produce (rau củ quả tươi),Hợp lý nhưng cao hơn kỳ vọng,Giảm lo lắng rất nhiều,Bình thường,Biểu đồ 3,1,2,2,1,3,1,2,3,1,1,Chủ cửa hàng/Quản lý,3,3,5,3,4,5,,,,,,1,2,1,2,,
2026-05-31 11:09:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Tiệm bánh,Từ 5 đến 10 năm,Nhân viên/Thu ngân,Từ 50 đến 150 giao dịch,"iPOS, KiotViet",Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Trên 15%,"Có, thường xuyên",Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Bình thường,"Bakery (bánh ngọt, bánh mì)",Bình thường,Bình thường,Bình thường,Biểu đồ 4,1,2,1,2,3,1,3,1,2,1,Chủ cửa hàng/Quản lý,2,5,4,4,5,3,,,,,,2,2,2,2,,
2026-05-31 11:10:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Quán cà phê hoặc đồ uống,Dưới 1 năm,Chủ cửa hàng/Quản lý,Trên 500 giao dịch,"iPOS, KiotViet","Báo cáo doanh thu theo ngày, tuần, tháng, Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Dưới 5%,Chưa bao giờ,Có nghe qua nhưng chưa hiểu chi tiết,Thấp hơn thực tế cửa hàng tôi,Khá thuyết phục,Beverages (đồ uống),Hợp lý và khả thi,Giảm lo lắng khá nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 5,1,1,1,1,3,2,1,1,1,2,Chủ cửa hàng/Quản lý,2,1,2,1,1,1,,,,,,1,1,1,2,,
2026-05-31 11:11:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Thịt hoặc hải sản tươi sống,Từ 5 đến 10 năm,Nhân viên/Thu ngân,Từ 50 đến 150 giao dịch,"iPOS, KiotViet",Quản lý tồn kho và cảnh báo hết hàng,Từ 5% đến 15%,"Có, thường xuyên",Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Bình thường,Meat (thịt tươi),Bình thường,Bình thường,Bình thường,Biểu đồ 4,3,1,4,2,3,2,3,3,2,1,Chủ cửa hàng/Quản lý,3,2,5,3,4,2,,,,,,1,1,2,1,,
2026-05-31 11:12:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Rau củ quả tươi hoặc tạp hóa,Dưới 1 năm,Chủ cửa hàng/Quản lý,Từ 150 đến 300 giao dịch,Sapo,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Trên 15%,"Có, thường xuyên",Chưa từng nghe đến,Đúng với thực tế cửa hàng tôi,Khá thuyết phục,Produce (rau củ quả tươi),Hợp lý nhưng cao hơn kỳ vọng,Giảm lo lắng rất nhiều,Bình thường,Biểu đồ 3,1,2,1,1,3,2,1,1,1,2,Chủ cửa hàng/Quản lý,2,2,1,1,1,2,,,,,,1,2,2,1,,
2026-05-31 11:13:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Tiệm bánh,Dưới 1 năm,Nhân viên/Thu ngân,Dưới 50 giao dịch,Không sử dụng phần mềm POS (vận hành thủ công),Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Dưới 5%,Hiếm khi,Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Bình thường,"Bakery (bánh ngọt, bánh mì)",Bình thường,Bình thường,Bình thường,Biểu đồ 4,1,2,1,2,3,3,2,2,2,1,Chủ cửa hàng/Quản lý,5,5,3,2,2,3,,,,,,1,2,1,2,,
2026-05-31 11:14:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nam,Quán cà phê hoặc đồ uống,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Từ 50 đến 150 giao dịch,KiotViet,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,Chưa bao giờ,Chưa từng nghe đến,Cao hơn thực tế cửa hàng tôi,Khá thuyết phục,Beverages (đồ uống),Hợp lý và khả thi,Giảm lo lắng khá nhiều,Không quan trọng lắm vì tôi tập trung vào lợi nhuận trung bình hơn,Biểu đồ 5,3,1,3,1,3,2,1,2,1,2,Chủ cửa hàng/Quản lý,5,3,4,5,5,3,,,,,,2,1,1,1,,
2026-05-31 11:15:00,"Có, tôi đồng ý tham gia",Từ 45 đến 54 tuổi,Nữ,Thịt hoặc hải sản tươi sống,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Dưới 50 giao dịch,Không sử dụng phần mềm POS (vận hành thủ công),Quản lý tồn kho và cảnh báo hết hàng,Dưới 5%,Chưa bao giờ,Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Bình thường,Meat (thịt tươi),Bình thường,Bình thường,Bình thường,"Biểu đồ 3, Biểu đồ 4, Biểu đồ 5",1,1,1,1,3,3,2,3,1,1,Chủ cửa hàng/Quản lý,3,3,5,4,2,4,,,,,,2,1,3,1,,
2026-05-31 12:01:00,"Có, tôi đồng ý tham gia",Từ 18 đến 24 tuổi,Nam,Quán cà phê hoặc đồ uống,Từ 1 đến 3 năm,Chủ cửa hàng/Quản lý,Từ 50 đến 150 giao dịch,iPOS,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,"Có, thỉnh thoảng",Biết khá rõ qua tin tức hoặc đồng nghiệp,Tôi không chắc chắn,Bình thường,Beverages (đồ uống),Bình thường,Bình thường,Bình thường,Biểu đồ 4,4,4,5,4,2,5,5,4,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,4,3,2,3,4,4,4,5,3,,
2026-05-31 12:02:00,"Có, tôi đồng ý tham gia",Từ 25 đến 34 tuổi,Nữ,Quán cà phê hoặc đồ uống,Từ 1 đến 3 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,Sapo,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Dưới 5%,"Có, thỉnh thoảng",Biết sơ qua (Từng nghe loáng thoáng),Tôi không chắc chắn,Bình thường,Beverages (đồ uống),Bình thường,Bình thường,Bình thường,Biểu đồ 4,2,4,3,4,4,4,5,3,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,3,3,2,2,5,3,4,3,5,,
2026-05-31 12:03:00,"Có, tôi đồng ý tham gia",Từ 18 đến 24 tuổi,Nam,Quán cà phê hoặc đồ uống,Từ 1 đến 3 năm,Chủ cửa hàng/Quản lý,Từ 50 đến 150 giao dịch,Không sử dụng phần mềm POS (vận hành thủ công),Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,Chưa bao giờ,Biết khá rõ qua tin tức hoặc đồng nghiệp,Tôi không chắc chắn,Bình thường,Beverages (đồ uống),Hợp lý và khả thi,Bình thường,Bình thường,Biểu đồ 4,2,4,1,4,3,2,4,3,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,4,4,3,2,4,3,4,4,4,,
2026-05-31 12:04:00,"Có, tôi đồng ý tham gia",Từ 25 đến 34 tuổi,Nữ,Quán cà phê hoặc đồ uống,Dưới 1 năm,Chủ cửa hàng/Quản lý,Từ 150 đến 300 giao dịch,Sapo,Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn,Từ 5% đến 15%,"Có, thường xuyên",Biết rất rõ (Đã từng tìm hiểu kỹ hoặc áp dụng),Tôi không chắc chắn,Bình thường,Beverages (đồ uống),Bình thường,Bình thường,Bình thường,Biểu đồ 4,3,4,4,4,3,3,3,4,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,4,2,2,3,5,4,4,3,4,,
2026-05-31 12:05:00,"Có, tôi đồng ý tham gia",Từ 18 đến 24 tuổi,Nam,Quán cà phê hoặc đồ uống,Dưới 1 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,KiotViet,"Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Từ 5% đến 15%,Chưa bao giờ,Biết khá rõ qua tin tức hoặc đồng nghiệp,Cao hơn thực tế cửa hàng tôi,Bình thường,Beverages (đồ uống),Bình thường,Bình thường,Bình thường,Biểu đồ 4,2,4,2,4,4,4,2,4,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,4,2,4,5,5,4,4,4,4,,
2026-05-31 12:06:00,"Có, tôi đồng ý tham gia",Từ 25 đến 34 tuổi,Nữ,Tiệm bánh,Từ 3 đến 5 năm,Nhân viên/Thu ngân,Từ 150 đến 300 giao dịch,"iPOS, KiotViet","Quản lý tồn kho và cảnh báo hết hàng, Tích hợp với các nền tảng giao hàng (GrabFood, ShopeeFood), Tôi chỉ sử dụng các tính năng cơ bản như thu tiền và in hóa đơn",Dưới 5%,"Có, thường xuyên",Biết khá rõ qua tin tức hoặc đồng nghiệp,Đúng với thực tế cửa hàng tôi,Bình thường,"Bakery (bánh ngọt, bánh mì)",Bình thường,Bình thường,Bình thường,"Biểu đồ 1, Biểu đồ 2, Biểu đồ 3",3,4,2,4,3,4,4,3,4,4,Thu ngân/Nhân viên trực tiếp,,,,,,,5,3,5,5,3,3,4,2,4,,
